38	100
12775	24939	1	9	10	1
26025	26429	1	18	32	1
26025	26564	1	6	32	1
26025	26699	1	6	32	1
26160	26429	1	18	9	1
26160	26564	1	6	9	1
26160	26699	1	6	9	1
71511	161240	1	5	0	1
83279	111703	2	0	0	2
84460	165638	2	0	0	2
87387	87499	1	0	1	1
101306	143275	1	2	0	1
121509	160258	1	2	0	1
121509	165846	1	2	0	1
121776	162568	1	1	0	1
123863	165645	1	5	0	1
139187	139217	0	0	0	1
142118	160504	2	2	0	2
142253	142618	1	1	0	1
151006	151095	2	0	0	2
160769	187131	2	0	0	2
160798	164525	1	0	0	1
160860	172752	1	2	0	1
165634	165681	1	0	0	1
165734	179333	2	0	0	2
181178	181209	0	0	0	1
204645	205049	2	0	31	2
204670	205209	2	9	6	2
204670	205344	2	32	6	2
204780	205049	2	0	31	2
204805	205209	2	9	6	2
204805	205344	2	32	6	2
204915	205049	2	0	43	2
204940	205209	2	9	18	2
204940	205344	2	32	18	2
206112	206246	1	7	13	1
206112	206381	1	7	13	1
219202	222586	1	0	0	1
